week,fid,n,r2
1,1,10,-0.5773889733982118
1,2,10,0.2240390245047652
1,3,15,-0.7233196051625466
1,4,30,0.9684945301833535
1,5,20,0.5615305365345691
1,6,20,0.41457263109952147
1,7,30,-0.4213173257164031
1,8,40,0.9853584260306649
2,1,11,-0.27852429024337244
2,2,11,0.3212018350196728
2,3,16,-0.5254073974502516
2,4,31,0.9742928535016178
2,5,21,0.9678671820389663
2,6,21,-0.0895284173202775
2,7,31,0.26111635143524636
2,8,41,0.9738700132066609
3,1,12,-0.26186592589214563
3,2,12,0.41229606831267995
3,3,17,-0.44022839693988747
3,4,32,0.9810138946969106
3,5,22,-0.49228236428431815
3,6,22,0.42850973953649396
3,7,32,0.37507607330987136
3,8,42,0.9835715502520664
4,1,13,-0.6524247315535274
4,2,13,0.4732526491450435
4,3,18,-0.17923380670501698
4,4,33,0.9835338588471954
4,5,23,0.9672999215462432
4,6,23,0.29413002918834885
4,7,33,0.10975826661015942
4,8,43,0.9870995120472105
5,1,14,-0.5539919673975249
5,2,14,0.47666762919104877
5,3,19,-0.234267983745853
5,4,34,0.98424553999516
5,5,24,0.7622972471339924
5,6,24,0.34336904462924
5,7,34,0.11354107237629607
5,8,44,0.9889065998128973
6,1,15,-0.250364496605775
6,2,15,0.5816752063891946
6,3,20,0.6663743116791504
6,4,35,0.9764489313056781
6,5,25,0.939723837574335
6,6,25,-0.05111947580254039
6,7,35,0.12275012704158339
6,8,45,0.9896648535994632
